"","citekey","paradigm","notes_ca ","notes_te ","emotions ","emotion_locus ","stimulus_type ","stimulus_duration ","stimulus_duration_unit ","stimulus_n ","feature_n ","participant_n ","participant_expertise ","participant_origin","participant_sampling","participant_task","feature_categories","feature_source","feature_reduction_method","model_category","model_detail","model_measure","model_complexity_parameters","model_rate_emotion_names","model_rate_emotion_values","model_validation"
"25.2","grekow2021mu"," regression  "," include  "," include  "," valence, arousal  "," perceived  "," classical, jazz, blues, country, disco, hip-hop, metal, pop, reggae, rock "," 6  "," seconds  "," 324  "," 653  "," 5  "," music experts  "," not specified  "," convenience  "," rate  ","    "," essentia, marsyas  ","    "," classification, neural network  "," recurrent neural networks, long short-term memory units  "," R2, MAE  "," c(training_epochs = 100, layer_n = c(1,2), lstm_units = c(124, 248))  "," valence, arousal","ESSENTIA = rbind(     linear.regression = c(R2_arousal = 0.07, MAE_arousal = 0.25, R2_valence = 0.06, MAE_valence = 0.19),     SMOreg = c(0.48,0.18,0.27,0.17),     RNN1.124LSTM = c(0.54,0.14,0.21,0.16),     RNN2.124.124LSTM = c(0.67,0.12,0.32,0.13),     RNN3.248LSTM = c(0.58,0.14,0.32,0.14),     RNN4.248.248LSTM = c(0.69,0.11,0.40,0.13),     RNN5.529LSTM = c(0.61,0.13,0.29,0.15),     RNN6.529.529LSTM = c(0.68,0.12,0.36,0.14)   )  ","  10-fold cross validation} }"
"25.3","grekow2021mu"," regression  "," include  "," include  "," valence, arousal  "," perceived  "," classical, jazz, blues, country, disco, hip-hop, metal, pop, reggae, rock "," 6  "," seconds  "," 324  "," 653  "," 5  "," music experts  "," not specified  "," convenience  "," rate  ","    "," essentia, marsyas  ","    "," classification, neural network  "," recurrent neural networks, long short-term memory units  "," R2, MAE  "," c(training_epochs = 100, layer_n = c(1,2), lstm_units = c(124, 248))  "," valence, arousal","PRETRAINED = rbind(     RNN1.124LSTM = c(R2_arousal = 0.63, MAE_arousal = 0.13, R2_valence = 0.35, MAE_valence = 0.14),     RNN2.124.124LSTM = c(0.73,0.11,0.42,0.13),     RNN3.248LSTM = c(0.68,0.12,0.36,0.14),     RNN4.248.248LSTM = c(0.73,0.11,0.46,0.12),     RNN5.529LSTM = c(0.69,0.12,0.38,0.13),     RNN6.529.529LSTM = c(0.71,0.12,0.46,0.12)   )   ","  10-fold cross validation} }"
"26","griffiths2021am"," regression  "," include  "," include, linear regression  "," valence, arousal  "," perceived  ","   "," variable  "," s  "," c(study1=20, study2=40) % three outliers  "," before_selection = 45, after_selection = 6  "," study1=44, study2 = 158  "," not specified  "," Auditory Mailing List, Social Media  "," convenience  "," self-report "," rbind(before_selection = c('dynamic', 'timbre', 'tonality', 'rhythm'), after_selection = c('dynamic', 'timbre'))  "," MIR Toolbox, Matlab Audio Analysis Library  "," Spearman correlation ranking  "," perceived  "," multiple linear regression  "," R2, MSE, SSE  "," 4  "," valence, arousal  "," list(   study2 = c(r2_arousal = 0.708, sse_arousal = 29.700, rmse_arousal = 0.084, r2.95l_arousal = 0.691, r2.95u_arousal = 1.059,                   r2_valence = 0.674, sse_valence = 30.581, rmse_valence = 0.897, r2.95l_valence = 0.562, r2.95u_valence = 0.894),   study2.no.outliers = c(0.85,12.341,0.585,0.841,1.118,                   0.776,19.7,0.74,0.63,0.91) ) ","  study2} "
"27","hu2017cr"," regression  "," include  "," include  "," valence, arousal  "," perceived  "," MER60, CH818, AMG1608  "," MER60 = 30, CH818 = 30, AMG1608 = 60  "," s  "," MER60 = 60, CH818 = 818, AMG1608 = 1608  "," 15 ","  ","  MER60 = nonexperts, CH818 = experts, AMG1608 =nonexperts   "," MER60 = Taiwan, CH818 = China, AMG1608 = MTurk  "," MER60 = convenience, CH818 = experts, AMG1608 = crowdsource  "," rate  "," Loudness, Pitch, Rhythm, Tonality, Timbre  "," MIR Toolbox, PsySound, Chroma Toolbox,, Tempogram Toolbox  "," step-wise forward feature selection algorithm  "," regression  ","  list( 'support vector regression with radial basis function', rbind( exp1 = c(train = 'complete set', test = 'complete set', factor.examined = 'combined features'), exp2 = c(train = 'selected set (random)', test = 'complete set', factor.examined = 'size of training data'), exp3 = c(train = 'selected set (controlled)', test = 'complete set', factor.examined = 'reliability level (close to that of mer 60) of training dataset'), exp4 = c(train = 'selected set (controlled)', test = 'selected set (controlled)', factor.examined = 'reliability level (close to that of mer 60) of training and test datasets'), exp5 = c(train = 'selected sets (varied)', test = 'selected sets (varied)', factor.examined = 'reliability level (varied) of training and test datasets') 		) 	)   "," R2  "," parameters optimized through grid searches  "," valence, arousal  "," rbind(mer_mer = c(exp1_valence = 0.18, exp2_valence = 0.18,  exp3_valence = 0.18, exp4_valence = 0.18, exp1_arousal = 0.68, exp2_arousal = 0.68,  exp3_arousal = 0.68, exp4_arousal = 0.68),         ch_mer = c(0.27,0.19,0.25,0.25,0.8,0.74,0.75,0.75),         amg_mer = c(0.40,0.22,0.2,0.2,0.75,0.67,0.65,0.65),         mer_ch = c(0.13,0.13,0.13,0.53,0.7,0.7,0.7,0.59),         ch_ch = c(0.25,0.15,0.10,0.28,0.77,0.72,0.74,0.81),         amg_ch = c(0.21,0.06,0.04,0.2,0.68,0.67,0.63,0.66),         mer_amg = c(0.08,0.08,0.08,0.33,0.61,0.61,0.61,0.73),         ch_amg = c(0.07,0.02,0.02,0.13,0.66,0.57,0.59,0.71),         amg_amg = c(0.14,0.03,0.06,0.19,0.73,0.63,0.63,0.72),         within = c(0.19,0.12,0.11,0.22,0.73,0.68,0.68,0.74),         cross = c(0.19,0.12,0.12,0.28,0.7,0.66,0.66,0.68),         all = c(0.19,0.12,0.12,0.26,0.71,0.67,0.67,0.7))   ","  10-fold cross validation} }"
"28","hu2022de"," regression  "," include , single-modality reported  "," include, includes audio only classification  "," valence, arousal  "," perceived  "," MIREX Grand Challenge on User Experience (Jamendo)   "," not specified "," s  "," 956  "," 231 "," 30  "," diverse  "," Hong Kong  "," convenience "," survey, rate  "," dynamic, rhythm, timbre, tonal, pitch  "," Librosa  "," none  "," classification  "," SVM with RBF  "," F1, AUC  "," undersample majority class,    oversample minority class using SVM borderline synthetic minority oversampling  "," valence, arousal  ","    rbind(   imbalanced.data = c(F1_arousal = 71.38, AUC_arousal = 81.31, F1_valence = 54.74, AUC_valence = 63.86),   resampled.data = c(72.93,81.41,58.09,53.72)   )     ","  10-fold cross validation} }"
"29","koh2023me"," regression  "," include  "," include  "," valence, arousal  "," perceived  "," Free Music Archive  "," full  "," s  "," 54  "," 260  "," 277  "," nonexperts  "," MTurk  "," crowdsourcing  "," rate "," timbre, dynamic, pitch  "," openSMILE  ","   "," regression  "," c(fully.connected.model = c(nodes = 512-256-1, dropout = '50%', leakyReLu = 0.1, smoothing = 'Gaussian kernel: sigma = 1.5, size = 7'),        LTSM.model = c(model.type = 'RNN', hidden.dimension = 512, hyper.parameter.tuning = 'trial and error')        )  "," R  "," batch.size = 8, learning.rate = 0.0001  "," valence, arousal  ","    rbind(fully.connected = c(MSE_valence = 0.0315, R_valence = 0.1314,                            MSE_arousal = 0.0333, R_arousal = 0.3507),         LSTM = c(0.0532,0.0599,0.0441,0.2992)         )   ","  five-fold cross validation with 100 epochs} }"
"30","malheiro2018em "," regression  "," include  "," include  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","      DISCUSS = T} "
"31","markov2014mu"," regression  "," include  "," include, mediaeval, R2 metrics  "," valence, arousal  "," perceived  "," MediaEval  "," 45  "," s  "," 1000  "," c(model.1 = 52, model.2 = 68, model.3 = 260, model.4 = 388) "," 100  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," timbre, speech, pitch  "," Marsyas  "," none  "," regression  "," c(exp.1 = 'SVR + Radial basis function',   exp.2 = 'Gaussian Process Regression')  "," R2  "," c(kernel.svr = 'radial basis function',   kernel.gpr = 'squared exponential')  "," valence, arousal  ","    rbind(   MFCC = c('R2_arousal' = 0.63, 'R2_arousal.SD' = 0.064, 'R2_valence' = 0.356, 'R2_valence.SD' = 0.085),   MFCC.TMBR = c(0.63,0.065,0.354,0.084),   MFCC.TMBR.SCF.SFM = c(0.686,0.045,0.398,0.075),   MFCC.TMBR.SCF.SFM.CHR.LSP = c(0.587,0.066,0.341,0.097) )     ","  10-fold cross validation} }"
"32","medina2020em"," classification  "," include  "," include, classification  "," valence, arousal  "," perceived  "," MediaEval  "," 45  "," s  "," 1802  "," 260  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," specified elsewhere  "," openSMILE  "," principal component analysis  "," classification  "," multilayer perceptron  ","    "," rbind(MLP_valence = c(learning.rate = 0.070, hidden.layers = 1, neurons = 64, RMSE = 0.23),MLP_arousal = c(0.060,1,64,0.24))  "," valence, arousal  ","    ","      DISCUSS = T} "
"33","orjesek2022en"," regression  "," include  "," include, both R2 and classification included  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"34","panwar2019ar"," regression  "," include, authors add detail about VA accuracy  "," include, DEAM  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"35","saizclar2022pr"," regression  "," exclude, no modeling task  "," include, R2  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"36","vempala2024pr"," regression  "," include  "," include, classification of quadrant  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"37","wang2021ac"," regression  "," include, acoustic model present in paper  "," include  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"38","wang2022co"," regression  "," include, though reports negative r^2 values in model comparison in table 2  "," include  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"39","wang2022cr"," regression  "," include  "," include, regression  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"40","xia2022st"," regression  "," include  "," include, although some quality issues  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"41","xie2020mu"," regression  "," include  "," include  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"42","xu2021us"," regression  "," include  "," include, audio prediction and R2 included  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"43","zhang2016br"," regression  "," include  "," include, classification  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"44","zhang2019us"," regression  "," include, single-modality reported  "," include, use a subset of the results  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
"45","zhang2023mo"," regression  "," include  "," include, R2  ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","    ","   } }"
